dma_elec,cls_elec,ct,disp,int,mod_pauli,pol,index
-180.476547,-193.0417,-29.164,-7.9095,-235.3847,79.3875,-84.657,145
-189.412978,-203.1511,-33.1753,-8.5778,-242.7532,93.4527,-91.3017,146
-200.02752,-221.8702,-40.6446,-9.885,-241.0039,125.7512,-94.3553,147
-207.104037,-231.7042,-44.35,-10.5755,-237.87239999999997,145.209,-96.4517,148
-199.154173,-216.3143,-38.9692,-9.5298,-246.2973,115.9312,-97.4152,149
-183.561946,-197.093,-30.5137,-8.0847,-238.2083,83.4767,-85.9936,150
-178.510958,-190.5639,-28.221,-7.731,-233.39159999999998,76.2736,-83.1493,151
-186.857281,-198.7096,-31.8853,-8.2806,-244.8064,86.3168,-92.2477,152
-194.047172,-213.1114,-36.6067,-9.249,-238.06969999999998,110.3939,-89.4965,153
-208.22516,-232.8482,-44.7062,-10.6307,-238.4826,146.5735,-96.871,154
-213.337229,-241.0125,-49.9099,-11.2155,-244.04799999999994,162.2717,-104.1818,155
-198.950583,-222.0876,-41.4668,-10.0358,-238.7521,129.5588,-94.7207,156
-198.011931,-216.3198,-37.7181,-9.5459,-236.91209999999998,117.5389,-90.8672,157
-192.945048,-213.514,-39.897,-9.5741,-243.9783,116.8487,-97.8419,158
-196.088553,-216.7964,-39.6766,-9.7531,-239.4787,122.4563,-95.7089,159
-199.957931,-219.3278,-39.0522,-9.7243,-239.03930000000003,121.9629,-92.8979,160
-195.17351,-220.2725,-40.8415,-9.8984,-238.43620000000004,127.2463,-94.6701,161
-196.29245,-212.513,-37.8167,-9.4545,-242.1805,114.1339,-96.5302,162
-184.697765,-202.9322,-33.8469,-8.8277,-231.22859999999997,100.9302,-86.552,163
-183.61095,-199.1204,-32.7382,-8.4429,-240.0462,91.1479,-90.8926,164
-183.799871,-197.0461,-31.0618,-8.2684,-237.97449999999998,86.5359,-88.1341,165
-183.188289,-198.2287,-31.353,-8.3471,-233.71800000000002,89.3131,-85.1023,166
-192.607228,-209.2306,-35.7761,-9.0642,-242.0455,105.2592,-93.2338,167
-194.344039,-217.9606,-41.2885,-10.0239,-235.68009999999998,128.7772,-95.1843,168
-195.829063,-219.1013,-41.48,-10.1218,-234.2692,132.0233,-95.5894,169
-197.254422,-215.0506,-38.1734,-9.3432,-246.7646,111.5251,-95.7225,170
-181.521409,-195.7073,-31.1278,-8.279,-235.9057,86.8942,-87.6858,171
-181.426644,-194.5191,-29.7014,-8.041,-234.5163,82.6468,-84.9016,172
-182.661921,-196.0427,-30.978,-8.0981,-240.6666,83.1423,-88.6901,173
-183.107083,-197.7928,-31.6772,-8.4581,-234.0755,91.838,-87.9854,174
-196.25531,-216.6035,-38.4332,-9.5222,-240.27609999999999,116.8765,-92.5937,175
-204.649801,-227.7495,-43.7442,-10.4487,-240.72560000000004,141.0485,-99.8317,176
-192.550434,-218.6296,-42.2309,-10.328,-227.2968,138.4995,-94.6078,177
-194.913858,-210.5931,-36.156,-9.089,-244.40519999999998,105.3079,-93.875,178
-176.422264,-190.8521,-31.6892,-8.253,-236.27280000000002,86.5176,-91.9961,179
-181.982587,-199.6276,-33.1512,-8.7122,-231.441,96.8216,-86.7716,180
-202.531132,-223.5134,-41.5273,-10.0336,-242.3623,129.5538,-96.8418,181
-203.252566,-231.7875,-47.9209,-10.8994,-242.01910000000004,151.5692,-102.9805,182
-208.204741,-230.7541,-44.4661,-10.494,-242.81650000000002,142.1299,-99.2322,183
-179.799884,-196.3588,-32.7957,-8.6093,-231.28939999999997,94.8091,-88.3347,184
-174.657101,-184.3631,-26.8283,-7.31,-237.45350000000002,67.0723,-86.0244,185
-176.957716,-187.8151,-28.0048,-7.638,-235.726,73.9869,-86.255,186
-190.312884,-208.6751,-35.2503,-9.023,-237.6521,104.7819,-89.4856,187
-197.01569,-221.9974,-45.2819,-10.4895,-241.3392,140.6898,-104.2602,188
-189.782387,-217.7292,-42.6415,-10.4552,-224.8064,140.7895,-94.77,189
-194.091647,-213.9111,-37.1427,-9.3786,-237.1808,113.5787,-90.3271,190
-174.240125,-190.0793,-31.6865,-8.3338,-235.42969999999997,86.5856,-91.9157,191
-184.226131,-200.9354,-32.6646,-8.5224,-235.07939999999996,93.7977,-86.7547,192
-185.056378,-200.3412,-33.2415,-8.6861,-237.17659999999998,95.6383,-90.5461,193
-199.096009,-221.7624,-41.4953,-10.0313,-241.61790000000002,130.1385,-98.4674,194
-202.743495,-229.2409,-44.9822,-10.6563,-235.51730000000003,147.3198,-97.9577,195
-190.26063,-209.5655,-36.6458,-9.4143,-232.87,114.5137,-91.7581,196
-185.19611,-204.0994,-35.3647,-8.9206,-237.8107,102.568,-91.994,197
-191.707316,-206.6857,-34.991,-8.9161,-243.1261,100.9413,-93.4746,198
